I1,I2,I3
1.3561,0,-0.0013
1.6373,0,-0.0002
1.2406,0,0.002
1.6373,0,-0.0002
1.5582,0,0.002
1.558,0,-0.0046
1.7529,0,-0.0013
1.4355,0,0.002
1.5576,0,0.002
1.7527,0,-0.0046
1.558,0,0.0007
1.6373,0,-0.0013
1.4355,0,0.0031
1.832,0,-0.0046
1.6375,0,-0.0026
1.4355,0,-0.0013
1.558,0,-0.0026
1.6369,0,0.002
1.5578,0,0.002
1.4351,0,-0.0002
1.4355,0,0.0007
1.4352,0,0.0031
1.4351,0,-0.0002
1.7524,0,0.0031
1.4356,0,-0.0013
1.4352,0,-0.0026
1.558,0,-0.0013
1.5578,0,0.0033
1.4355,0,-0.0026
1.6375,0,-0.0059
1.4356,0,-0.0026
1.5578,0,0.0033
1.6369,0,-0.0013
1.637,0,0.002
1.6373,0,-0.0013
1.7529,0,0.0007
1.4355,0,0.002
1.7519,0,0.0007
1.3561,0,-0.0013
1.6373,0,0.002
1.558,0,-0.0026
1.4352,0,0.0007
1.5578,0,-0.0013
1.6373,0,-0.0002
1.832,0,0.002
1.558,0,0.0007
1.6369,0,0.002
1.6366,0,0.0007
1.558,0,0.0033
1.4355,0,-0.0002
1.5578,0,-0.0002
1.3559,0,-0.0013
1.4352,0,0.0031
1.4355,0,-0.0002
1.4352,0,-0.0002
1.3563,0,0.002
1.7527,0,-0.0026
1.4355,0,-0.0013
1.2408,0,-0.0013
1.6375,0,0.002
1.7527,0,-0.0046
1.4355,0,-0.0026
1.4355,0,-0.0013
1.558,0,-0.0013
1.3561,0,-0.0002
1.3558,0,0.002
1.558,0,0.002
1.3563,0,-0.0013
1.6375,0,-0.0002
1.3559,0,0.0033
1.637,0,0.002
1.6375,0,-0.0037
1.6373,0,-0.0026
1.5578,0,-0.0013
1.4351,0,-0.0002
1.637,0,-0.0002
1.8317,0,0.002
1.3561,0,-0.0013
1.6373,0,0.002
1.558,0,-0.0046
1.6373,0,-0.0026
1.4355,0,0.0007
1.6369,0,-0.0046
1.4355,0,-0.0013
1.5578,0,0.0007
1.7527,0,0.002
1.4355,0,-0.0026
1.6373,0,0.002
1.2409,0,0.002
1.3563,0,0.0031
1.5578,0,0.0031
1.5582,0,-0.0013
1.6369,0,-0.0002
1.558,0,0.0055
1.8317,0,-0.0026
1.6373,0,0.002
1.5578,0,-0.0013
1.5576,0,-0.0013
1.3563,0,0.002
1.5582,0,0.0033
1.7522,0,-0.0026
1.7524,0,0.002
1.7519,0,-0.0013
1.4352,0,-0.0013
1.5582,0,0.0066
1.3565,0,-0.0046
1.7527,0,-0.0013
1.5576,0,-0.0059
1.9473,0,0.0007
1.4352,0,0.0031
1.4351,0,0.002
1.6369,0,-0.0046
1.4355,0,-0.0013
1.4352,0,-0.0002
1.2405,0,0.0033
1.4355,0,0.0033
1.7531,0,0.0007
1.637,0,0.002
1.637,0,-0.0013
1.5578,0,-0.0037
1.558,0,0.002
1.558,0,0.0031
1.6369,0,0.002
1.4355,0,0.002
1.6375,0,-0.0002
1.4356,0,-0.0002
1.4351,0,0.0033
1.637,0,-0.0013
1.558,0,0.0031
1.3563,0,0.002
1.832,0,0.0042
1.6373,0,-0.0013
1.6373,0,0.0055
1.6373,0,0.002
1.4355,0,0.0007
1.4356,0,-0.0013
1.3561,0,-0.0013
1.5576,0,0.0055
1.7529,0,0.0007
1.637,0,0.0055
1.5578,0,0.0007
1.4355,0,0.0055
1.5582,0,-0.0026
1.5582,0,0.002
1.6375,0,-0.0013
1.558,0,0.0055
1.4355,0,0.0007
1.6373,0,0.002
1.558,0,0.002
1.7529,0,0.002
1.5582,0,0.0088
1.6373,0,0.0007
1.5582,0,0.002
1.7527,0,0.0033
1.7522,0,0.002
1.7524,0,0.0042
1.637,0,0.002
1.7524,0,0.002
1.5578,0,0.002
1.2406,0,-0.0013
1.2409,0,0.002
1.4352,0,-0.0013
1.5582,0,0.0066
1.7527,0,0.002
1.4352,0,0.0066
1.4351,0,-0.0013
1.7522,0,-0.0002
1.558,0,0.0029
1.558,0,0.0042
1.5576,0,0.0033
1.3561,0,0.002
1.5582,0,-0.0013
1.4356,0,0.0055
1.637,0,0.0055
1.4352,0,0.002
1.7529,0,0.002
1.5576,0,0.0033
1.4352,0,0.0007
1.5578,0,0.0055
1.5578,0,-0.0004
1.7527,0,0.002
1.4355,0,0.002
1.4358,0,0.0055
1.8312,0,0.0007
1.2409,0,0.0007
1.6373,0,0.002
1.4356,0,0.0042
1.7522,0,0.0007
1.6373,0,0.0055
1.7524,0,0.0055
1.5576,0,0.002
1.5572,0,0.0033
1.3563,0,0.002
1.7527,0,0.002
1.6375,0,0.0033
1.5576,0,0.002
1.7529,0,0.0055
1.558,0,0.0066
1.4355,0,0.0066
1.6373,0,0.002
1.5582,0,0.002
1.558,0,0.0007
1.5582,0,0.002
1.4355,0,0.002
1.7524,0,-0.0013
1.3559,0,0.002
1.2409,0,0.0066
1.558,0,0.0007
1.558,0,0.0031
1.4355,0,0.002
1.5578,0,0.0007
1.3559,0,0.0007
1.1612,0,-0.0013
1.5578,0,-0.0013
1.637,0,0.0031
1.3561,0,0.0031
1.7524,0,0.0031
1.4351,0,0.0033
1.7527,0,0.002
1.558,0,0.002
1.3561,0,0.0007
1.5578,0,-0.0046
1.4351,0,0.002
1.558,0,0.0042
1.7527,0,-0.0013
1.6375,0,-0.0013
1.5578,0,-0.0013
1.2408,0,-0.0013
1.6373,0,-0.0013
1.558,0,-0.0026
1.6373,0,-0.0026
1.5576,0,-0.0013
1.3558,0,0.0007
1.7527,0,-0.0013
1.3556,0,0.0055
1.7522,0,-0.0026
1.558,0,-0.0002
1.558,0,-0.0026
1.4355,0,-0.0013
1.637,0,-0.0013
1.637,0,0.002
1.558,0,-0.0046
1.3559,0,0.0007
1.3563,0,-0.0013
1.5578,0,-0.0002
1.4358,0,0.0007
1.4355,0,-0.0013
1.4355,0,0.002
1.558,0,-0.0013
1.5576,0,-0.0026
1.8322,0,0.0033
1.3563,0,-0.0013
1.637,0,-0.0026
1.4351,0,-0.0013
1.6373,0,-0.0026
1.5578,0,-0.0002
1.5578,0,-0.0013
1.8317,0,-0.0026
1.4355,0,0.002
1.558,0,-0.0013
1.5578,0,-0.0013
1.5582,0,0.0033
1.558,0,-0.0002
1.4355,0,-0.0013
1.7529,0,-0.0002
1.558,0,-0.0013
1.6369,0,-0.0002
1.5578,0,-0.0026
1.637,0,-0.0013
1.7527,0,0.0033
1.5582,0,-0.0059
1.558,0,-0.0002
1.5578,0,-0.0013
1.4356,0,0.0011
1.6373,0,-0.0026
1.4355,0,-0.0013
1.5582,0,-0.0059
1.558,0,-0.0026
1.637,0,-0.0013
1.5578,0,-0.0035
1.5578,0,-0.0026
1.7529,0,-0.0013
1.7529,0,0.0011
1.5582,0,-0.0013
1.4352,0,0.002
1.6373,0,-0.0046
1.637,0,-0.0002
1.5578,0,0.002
1.5578,0,0.002
1.4356,0,-0.0002
1.6373,0,0.0055
1.7524,0,-0.0013
1.558,0,-0.0013
1.5578,0,-0.0002
1.558,0,-0.0013
1.6375,0,0.002
1.6373,0,-0.0002
1.6375,0,-0.0013
1.4352,0,-0.0013
1.637,0,0.0007
1.637,0,-0.0013
1.4352,0,-0.0002
1.6375,0,-0.0013
1.4356,0,-0.0002
1.7524,0,-0.0013
1.6373,0,-0.0013
1.5578,0,0.0033
1.7527,0,0.0033
1.558,0,0.0007
1.7529,0,-0.0002
1.5578,0,-0.0002
1.5582,0,0.0055
1.2408,0,0.002
1.3561,0,-0.0013
1.5582,0,-0.0026
1.4355,0,-0.0002
1.558,0,-0.0026
1.558,0,0.0007
1.4356,0,0.0007
1.6378,0,0.0033
1.558,0,0.002
1.637,0,-0.0059
1.7527,0,0.002
1.8322,0,0.002
1.558,0,0.002
1.558,0,-0.0013
1.7524,0,0.002
1.4355,0,-0.0013
1.8317,0,0.002
1.5582,0,0.0007
1.4352,0,-0.0013
1.6373,0,0.002
1.558,0,0.0033
1.558,0,0.002
1.3563,0,0.002
1.832,0,0.0033
1.5578,0,0.002
1.3565,0,0.002
1.832,0,0.0033
1.3561,0,0.002
1.7519,0,0.0007
1.6373,0,-0.0026
1.7519,0,0.0007
1.5584,0,0.0007
1.4352,0,0.002
1.5582,0,-0.0013
1.3559,0,0.0042
1.6375,0,0.002
1.7524,0,0.002
1.4355,0,0.0055
1.637,0,0.0007
1.558,0,-0.0002
1.558,0,0.0033
1.4355,0,0.0055
1.6373,0,0.0007
1.5578,0,0.0042
1.5578,0,0.0066
1.7524,0,0.0055
1.4355,0,0.0007
1.5582,0,0.0088
1.4352,0,0.0075
1.5582,0,0.0007
1.3561,0,0.002
1.6373,0,0.0033
1.558,0,-0.0026
1.4351,0,-0.0013
1.5576,0,-0.0013
1.5578,0,0.0007
1.5582,0,0.0042
1.558,0,0.002
1.6373,0,0.0055
1.637,0,0.002
1.558,0,0.0055
1.6375,0,0.0042
1.5573,0,0.002
1.4348,0,0.002
1.6373,0,0.0033
1.6373,0,0.002
1.6375,0,0.0042
1.7524,0,0.0055
1.5582,0,0.0055
1.6369,0,0.0007
1.4355,0,0.0031
1.7527,0,0.0007
1.4352,0,0.002
1.5578,0,0.0007
1.558,0,0.0055
1.4352,0,0.0007
1.8317,0,0.002
1.637,0,0.0007
1.637,0,0.002
1.4352,0,0.0055
1.5578,0,0.002
1.6373,0,0.0033
1.4356,0,0.002
1.6373,0,0.0055
1.4355,0,0.002
1.6366,0,0.0031
1.5578,0,-0.0026
1.4355,0,0.0042
1.558,0,0.0007
1.4355,0,0.002
1.4358,0,-0.0013
1.6369,0,0.002
1.8315,0,0.002
1.4352,0,0.002
1.4352,0,0.002
1.4352,0,0.002
1.637,0,0.0007
1.637,0,0.0007
1.637,0,0.002
1.3558,0,0.0066
1.832,0,0.0007
1.558,0,0.002
1.5582,0,-0.0013
1.558,0,-0.0013
1.637,0,-0.0013
1.3561,0,0.002
1.4351,0,-0.0013
1.7527,0,0.0055
1.6369,0,-0.0013
1.3561,0,-0.0013
1.4355,0,0.0033
1.6373,0,-0.0013
1.8322,0,0.0055
1.558,0,0.002
1.5578,0,-0.0013
1.5578,0,-0.0026
1.9475,0,0.002
1.5578,0,-0.0013
1.637,0,0.002
1.5578,0,-0.0026
