扭矩(N·m)	效率(%)
------------------------------
0.000000	0.00
0.003750	1.50
0.007500	3.00
0.011250	4.80
0.015000	6.80
0.018750	9.00
0.022500	11.20
0.026250	13.50
0.030000	15.80
0.033750	18.00
0.037500	20.00
0.041250	21.80
0.045000	23.50
0.048750	25.00
0.052500	26.30
0.056250	27.50
0.060000	28.60
0.063750	29.50
0.067500	30.30
0.071250	31.00
0.075000	31.60
0.078750	32.10
0.082500	32.50
0.086250	32.90
0.090000	33.20
0.093750	33.50
0.097500	33.80
0.101250	34.00
0.105000	34.20
0.108750	34.40
0.112500	34.60
0.116250	34.80
0.120000	35.00
0.123750	35.20
0.127500	35.40
0.131250	35.60
0.135000	35.80
0.138750	36.00
0.142500	36.20
0.146250	36.40
0.150000	36.60
0.153750	36.80
0.157500	37.00
0.161250	37.15
0.165000	37.30
0.168750	37.40
0.172500	37.48
0.176250	37.50
0.180000	37.50
0.183750	37.48
0.187500	37.45
0.191250	37.40
0.195000	37.35
0.198750	37.28
0.202500	37.20
0.206250	37.10
0.210000	37.00
0.213750	36.90
0.217500	36.80
0.221250	36.68
0.225000	36.55
0.228750	36.42
0.232500	36.28
0.236250	36.14
0.240000	36.00
0.243750	35.86
0.247500	35.72
0.251250	35.58
0.255000	35.44
0.258750	35.30
0.262500	35.16
0.266250	35.02
0.270000	34.88
0.273750	34.74
0.277500	34.60
0.281250	34.46
0.285000	34.32
0.288750	34.18
0.292500	34.04
0.296250	33.90
0.300000	33.76
0.303750	33.62
0.307500	33.48
0.311250	33.34
0.315000	33.20
0.318750	33.06
0.322500	32.92
0.326250	32.78
0.330000	32.64
0.333750	32.50
0.337500	32.36
0.341250	32.22
0.345000	32.08
0.348750	31.94
0.352500	31.80
0.356250	31.66
0.360000	31.52
0.363750	31.38
0.367500	31.24
0.371250	31.10
0.375000	30.96
0.378750	30.82
0.382500	30.68
0.386250	30.54
0.390000	30.40
0.393750	30.26
0.397500	30.12
0.401250	29.98
0.405000	29.84
0.408750	29.70
0.412500	29.56
0.416250	29.42
0.420000	29.28
0.423750	29.14
0.427500	29.00
0.431250	28.86
0.435000	28.72
0.438750	28.58
0.442500	28.44
0.446250	28.30
0.450000	28.16
0.453750	28.02
0.457500	27.88
0.461250	27.74
0.465000	27.60
0.468750	27.46
0.472500	27.32
0.476250	27.18
0.480000	27.04
0.483750	26.90
0.487500	26.76
0.491250	26.62
0.495000	26.48
0.498750	26.34
0.502500	26.20
0.506250	26.06
0.510000	25.92
0.513750	25.78
0.517500	25.64
0.521250	25.50
0.525000	25.36
0.528750	25.22
0.532500	25.08
0.536250	24.94
0.540000	24.80
0.543750	24.66
0.547500	24.52
0.551250	24.38
0.555000	24.24
0.558750	24.10
0.562500	23.96
0.566250	23.82
0.570000	23.68
0.573750	23.54
0.577500	23.40
0.581250	23.26
0.585000	23.12
0.588750	22.98
0.592500	22.84
0.596250	22.70
0.600000	22.56
0.603750	22.42
0.607500	22.28
0.611250	22.14
0.615000	22.00
0.618750	21.86
0.622500	21.72
0.626250	21.58
0.630000	21.44
0.633750	21.30
0.637500	21.16
0.641250	21.02
0.645000	20.88
0.648750	20.74
0.652500	20.60
0.656250	20.46
0.660000	20.32
0.663750	20.18
0.667500	20.04
0.671250	19.90
0.675000	19.76
0.678750	19.62
0.682500	19.48
0.686250	19.34
0.690000	19.20
0.693750	19.06
0.697500	18.92
0.701250	18.78
0.705000	18.64
0.708750	18.50
0.712500	18.36
0.716250	18.22
0.720000	18.08
0.723750	17.94
0.727500	17.80
0.731250	17.66
0.735000	17.52
0.738750	17.38
0.742500	17.24
0.746250	17.10
0.750000	16.96
0.753750	16.82
0.757500	16.68
0.761250	16.54
0.765000	16.40
0.768750	16.26
0.772500	16.12
0.776250	15.98
0.780000	15.84
0.783750	15.70
0.787500	15.56
0.791250	15.42
0.795000	15.28
0.798750	15.14
0.802500	15.00
0.806250	14.86
0.810000	14.72
0.813750	14.58
0.817500	14.44
0.821250	14.30
0.825000	14.16
0.828750	14.02
0.832500	13.88
0.836250	13.74
0.840000	13.60
0.843750	13.46
0.847500	13.32
0.851250	13.18
0.855000	13.04
0.858750	12.90
0.862500	12.76
0.866250	12.62
0.870000	12.48
0.873750	12.34
0.877500	12.20
0.881250	12.06
0.885000	11.92
0.888750	11.78
0.892500	11.64
0.896250	11.50
0.900000	11.36
0.903750	11.22
0.907500	11.08
0.911250	10.94
0.915000	10.80
0.918750	10.66
0.922500	10.52
0.926250	10.38
0.930000	10.24
0.933750	10.10
0.937500	9.96
0.941250	9.82
0.945000	9.68
0.948750	9.54
0.952500	9.40
0.956250	9.26
0.960000	9.12
0.963750	8.98
0.967500	8.84
0.971250	8.70
0.975000	8.56
0.978750	8.42
0.982500	8.28
0.986250	8.14
0.990000	8.00
0.993750	7.88
0.997500	7.76
1.001250	7.64
1.005000	7.52
1.008750	7.40
1.012500	7.28
1.016250	7.16
1.020000	7.04
1.023750	6.92
1.027500	6.80
1.031250	6.68
1.035000	6.56
1.038750	6.44
1.042500	6.32
1.046250	6.20
1.050000	6.08
1.053750	5.96
1.057500	5.84
1.061250	5.72
1.065000	5.60
1.068750	5.48
1.072500	5.36
1.076250	5.24
1.080000	5.12
1.083750	5.00
1.087500	4.90
1.091250	4.80
1.095000	4.70
1.098750	4.60
1.102500	4.50
1.106250	4.40
1.110000	4.30
1.113750	4.20
1.117500	4.10
1.121250	4.00
1.125000	3.90
1.128750	3.80
1.132500	3.70
1.136250	3.60
1.140000	3.50
1.143750	3.42
1.147500	3.34
1.151250	3.26
1.155000	3.18
1.158750	3.10
1.162500	3.02
1.166250	2.94
1.170000	2.86
1.173750	2.78
1.177500	2.70
1.181250	2.64
